19:53:25: Executing task 'Main.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Main.main()

№    size            threshold       cycle        fork/join    is better?  %
1    25              10              0,0000025    0,0063393    false       253472,0 %
2    50              10              0,0000011    0,0003515    false       31854,5 %
3    50              25              0,0000012    0,0001412    false       11666,7 %
4    75              10              0,0000015    0,0001816    false       12006,7 %
5    75              25              0,0000016    0,0001179    false       7268,8 %
6    75              50              0,0000015    0,0001946    false       12873,3 %
7    100             10              0,0000019    0,0002530    false       13215,8 %
8    100             25              0,0000019    0,0001319    false       6842,1 %
9    100             50              0,0000020    0,0001366    false       6730,0 %
10   100             75              0,0000019    0,0003907    false       20463,2 %
11   250             10              0,0000040    0,0004015    false       9937,5 %
12   250             25              0,0000045    0,0003681    false       8080,0 %
13   250             50              0,0000042    0,0001634    false       3790,5 %
14   250             75              0,0000043    0,0002203    false       5023,3 %
15   250             100             0,0000040    0,0001124    false       2710,0 %
16   500             10              0,0000084    0,0004769    false       5577,4 %
17   500             25              0,0000079    0,0008594    false       10778,5 %
18   500             50              0,0000081    0,0002168    false       2576,5 %
19   500             75              0,0000077    0,0001784    false       2216,9 %
20   500             100             0,0000080    0,0001339    false       1573,8 %
21   500             250             0,0000077    0,0001274    false       1554,5 %
22   750             10              0,0000132    0,0013335    false       10002,3 %
23   750             25              0,0000121    0,0003131    false       2487,6 %
24   750             50              0,0000117    0,0001688    false       1342,7 %
25   750             75              0,0000114    0,0001544    false       1254,4 %
26   750             100             0,0000117    0,0001499    false       1181,2 %
27   750             250             0,0000121    0,0000790    false       552,9 %
28   750             500             0,0000120    0,0000749    false       524,2 %
29   1 000           10              0,0000152    0,0004094    false       2593,4 %
30   1 000           25              0,0000154    0,0002084    false       1253,2 %
31   1 000           50              0,0000151    0,0002813    false       1762,9 %
32   1 000           75              0,0000153    0,0001123    false       634,0 %
33   1 000           100             0,0000157    0,0000912    false       480,9 %
34   1 000           250             0,0000155    0,0001019    false       557,4 %
35   1 000           500             0,0000155    0,0001173    false       656,8 %
36   1 000           750             0,0000154    0,0000892    false       479,2 %
37   2 500           10              0,0000380    0,0006383    false       1579,7 %
