8:30:24: Executing task 'Main.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Main.main()

№    size            threshold       cycle        fork/join    is better?  %
1    25              10              0,0000028    0,0085592    false       305585,7 %
2    50              10              0,0000013    0,0013366    false       102715,4 %
3    50              25              0,0000013    0,0001574    false       12007,7 %
4    75              10              0,0000019    0,0008891    false       46694,7 %
5    75              25              0,0000017    0,0002242    false       13088,2 %
6    75              50              0,0000218    0,0001625    false       645,4 %
7    100             10              0,0000024    0,0004240    false       17566,7 %
8    100             25              0,0000022    0,0002510    false       11309,1 %
9    100             50              0,0000022    0,0001519    false       6804,5 %
10   100             75              0,0000022    0,0001949    false       8759,1 %
11   250             10              0,0000043    0,0007911    false       18297,7 %
12   250             25              0,0000047    0,0004522    false       9521,3 %
13   250             50              0,0000044    0,0003255    false       7297,7 %
14   250             75              0,0000043    0,0027477    false       63800,0 %
15   250             100             0,0000043    0,0002493    false       5697,7 %
16   500             10              0,0000086    0,0017777    false       20570,9 %
17   500             25              0,0000080    0,0008264    false       10230,0 %
18   500             50              0,0000086    0,0002635    false       2964,0 %
19   500             75              0,0000083    0,0001618    false       1849,4 %
20   500             100             0,0000084    0,0001803    false       2046,4 %
21   500             250             0,0000082    0,0001500    false       1729,3 %
22   750             10              0,0000160    0,0013579    false       8386,9 %
23   750             25              0,0000122    0,0006037    false       4848,4 %
24   750             50              0,0000121    0,0002951    false       2338,8 %
25   750             75              0,0000116    0,0001871    false       1512,9 %
26   750             100             0,0000125    0,0003605    false       2784,0 %
27   750             250             0,0000124    0,0002084    false       1580,6 %
28   750             500             0,0000122    0,0010376    false       8404,9 %
29   1 000           10              0,0000167    0,0042409    false       25294,6 %
30   1 000           25              0,0000251    0,0016862    false       6617,9 %
31   1 000           50              0,0000156    0,0001872    false       1100,0 %
32   1 000           75              0,0000162    0,0002759    false       1603,1 %
33   1 000           100             0,0000156    0,0000867    false       455,8 %
34   1 000           250             0,0000157    0,0000822    false       423,6 %
35   1 000           500             0,0000156    0,0000743    false       376,3 %
36   1 000           750             0,0000161    0,0001373    false       752,8 %
37   2 500           10              0,0000378    0,0006473    false       1612,4 %
38   2 500           25              0,0000375    0,0004133    false       1002,1 %
39   2 500           50              0,0000395    0,0001937    false       390,4 %
40   2 500           75              0,0000393    0,0001995    false       407,6 %
41   2 500           100             0,0000379    0,0001391    false       267,0 %
42   2 500           250             0,0000376    0,0000816    false       117,0 %
43   2 500           500             0,0000377    0,0001392    false       269,2 %
44   2 500           750             0,0000394    0,0000962    false       144,2 %
45   2 500           1 000           0,0000376    0,0000812    false       116,0 %
46   5 000           10              0,0000746    0,0019622    false       2530,3 %
47   5 000           25              0,0000744    0,0006353    false       753,9 %
48   5 000           50              0,0001152    0,0003294    false       185,9 %
49   5 000           75              0,0000747    0,0002823    false       277,9 %
50   5 000           100             0,0000840    0,0002162    false       157,4 %
51   5 000           250             0,0000267    0,0001553    false       481,6 %
52   5 000           500             0,0000689    0,0001464    false       112,5 %
53   5 000           750             0,0000113    0,0001013    false       796,5 %
54   5 000           1 000           0,0000886    0,0001364    false       54,0 %
55   5 000           2 500           0,0000422    0,0000814    false       92,9 %
56   7 500           10              0,0000167    0,0014605    false       8645,5 %
57   7 500           25              0,0000599    0,0011675    false       1849,1 %
58   7 500           50              0,0000658    0,0004171    false       533,9 %
59   7 500           75              0,0000609    0,0004957    false       714,0 %
60   7 500           100             0,0001016    0,0002827    false       178,2 %
61   7 500           250             0,0000584    0,0021794    false       3631,8 %
62   7 500           500             0,0000590    0,0001799    false       204,9 %
63   7 500           750             0,0001099    0,0003450    false       213,9 %
64   7 500           1 000           0,0000985    0,0001662    false       68,7 %
65   7 500           2 500           0,0000572    0,0010451    false       1727,1 %
66   7 500           5 000           0,0000750    0,0003000    false       300,0 %
67   10 000          10              0,0000638    0,0060354    false       9359,9 %
68   10 000          25              0,0000631    0,0007684    false       1117,7 %
69   10 000          50              0,0000633    0,0007221    false       1040,8 %
70   10 000          75              0,0000893    0,0004214    false       371,9 %
71   10 000          100             0,0000801    0,0007675    false       858,2 %
72   10 000          250             0,0000816    0,0009302    false       1040,0 %
73   10 000          500             0,0000625    0,0003661    false       485,8 %
74   10 000          750             0,0005618    0,0001806    true        -67,9 %
75   10 000          1 000           0,0000969    0,0002219    false       129,0 %
76   10 000          2 500           0,0000929    0,0007688    false       727,6 %
77   10 000          5 000           0,0000036    0,0000859    false       2286,1 %
78   10 000          7 500           0,0000036    0,0000762    false       2016,7 %
79   25 000          10              0,0000092    0,0025575    false       27698,9 %
80   25 000          25              0,0000126    0,0005770    false       4479,4 %
81   25 000          50              0,0000094    0,0047895    false       50852,1 %
82   25 000          75              0,0000089    0,0002748    false       2987,6 %
83   25 000          100             0,0000104    0,0002528    false       2330,8 %
84   25 000          250             0,0000082    0,0001156    false       1309,8 %
85   25 000          500             0,0000101    0,0001082    false       971,3 %
86   25 000          750             0,0000094    0,0001470    false       1463,8 %
87   25 000          1 000           0,0000095    0,0000913    false       861,1 %
88   25 000          2 500           0,0000093    0,0020743    false       22204,3 %
89   25 000          5 000           0,0000098    0,0000890    false       808,2 %
90   25 000          7 500           0,0000089    0,0000744    false       736,0 %
91   25 000          10 000          0,0000088    0,0001933    false       2096,6 %
92   50 000          10              0,0000183    0,0008333    false       4453,6 %
93   50 000          25              0,0000198    0,0004848    false       2348,5 %
94   50 000          50              0,0000186    0,0001988    false       968,8 %
95   50 000          75              0,0000180    0,0002144    false       1091,1 %
96   50 000          100             0,0000185    0,0010613    false       5636,8 %
97   50 000          250             0,0000178    0,0001304    false       632,6 %
98   50 000          500             0,0000178    0,0001130    false       534,8 %
99   50 000          750             0,0000194    0,0002816    false       1351,5 %
100  50 000          1 000           0,0000208    0,0002218    false       966,3 %
101  50 000          2 500           0,0000205    0,0001062    false       418,0 %
102  50 000          5 000           0,0000163    0,0008704    false       5239,9 %
103  50 000          7 500           0,0000179    0,0001562    false       772,6 %
104  50 000          10 000          0,0000180    0,0002997    false       1565,0 %
105  50 000          25 000          0,0000176    0,0010584    false       5913,6 %
106  75 000          10              0,0000257    0,0035533    false       13726,1 %
107  75 000          25              0,0000279    0,0006890    false       2369,5 %
108  75 000          50              0,0000273    0,0003677    false       1246,9 %
109  75 000          75              0,0000251    0,0004416    false       1659,4 %
110  75 000          100             0,0000275    0,0002230    false       710,9 %
111  75 000          250             0,0000282    0,0002512    false       790,8 %
112  75 000          500             0,0000289    0,0002243    false       676,1 %
113  75 000          750             0,0000254    0,0001397    false       450,0 %
114  75 000          1 000           0,0000282    0,0001423    false       404,6 %
115  75 000          2 500           0,0000266    0,0001287    false       383,8 %
116  75 000          5 000           0,0000292    0,0002149    false       636,0 %
117  75 000          7 500           0,0000280    0,0001520    false       442,9 %
118  75 000          10 000          0,0000269    0,0000810    false       201,1 %
119  75 000          25 000          0,0000462    0,0001373    false       197,2 %
120  75 000          50 000          0,0000272    0,0000922    false       239,0 %
121  100 000         10              0,0000315    0,0012932    false       4005,4 %
122  100 000         25              0,0000756    0,0004878    false       545,2 %
123  100 000         50              0,0000553    0,0006997    false       1165,3 %
124  100 000         75              0,0000513    0,0001958    false       281,7 %
125  100 000         100             0,0000406    0,0004394    false       982,3 %
126  100 000         250             0,0000366    0,0001922    false       425,1 %
127  100 000         500             0,0000389    0,0002446    false       528,8 %
128  100 000         750             0,0000358    0,0001112    false       210,6 %
129  100 000         1 000           0,0000347    0,0001602    false       361,7 %
130  100 000         2 500           0,0000371    0,0001873    false       404,9 %
131  100 000         5 000           0,0000356    0,0001017    false       185,7 %
132  100 000         7 500           0,0000353    0,0001183    false       235,1 %
133  100 000         10 000          0,0000482    0,0020623    false       4178,6 %
134  100 000         25 000          0,0000369    0,0001186    false       221,4 %
135  100 000         50 000          0,0000591    0,0001432    false       142,3 %
136  100 000         75 000          0,0000375    0,0001170    false       212,0 %
137  250 000         10              0,0001221    0,0023988    false       1864,6 %
138  250 000         25              0,0000920    0,0020024    false       2076,5 %
139  250 000         50              0,0001031    0,0008505    false       724,9 %
140  250 000         75              0,0000921    0,0008864    false       862,4 %
141  250 000         100             0,0000965    0,0017521    false       1715,6 %
142  250 000         250             0,0001442    0,0004569    false       216,9 %
143  250 000         500             0,0001035    0,0002625    false       153,6 %
144  250 000         750             0,0000971    0,0003358    false       245,8 %
145  250 000         1 000           0,0000952    0,0002398    false       151,9 %
146  250 000         2 500           0,0001111    0,0002517    false       126,6 %
147  250 000         5 000           0,0000926    0,0002205    false       138,1 %
148  250 000         7 500           0,0000991    0,0001778    false       79,4 %
149  250 000         10 000          0,0000951    0,0004665    false       390,5 %
150  250 000         25 000          0,0001061    0,0002490    false       134,7 %
151  250 000         50 000          0,0001363    0,0002083    false       52,8 %
152  250 000         75 000          0,0000975    0,0002324    false       138,4 %
153  250 000         100 000         0,0000977    0,0023519    false       2307,3 %
154  500 000         10              0,0001807    0,0086942    false       4711,4 %
155  500 000         25              0,0001894    0,0034861    false       1740,6 %
156  500 000         50              0,0002420    0,0032138    false       1228,0 %
157  500 000         75              0,0002049    0,0006947    false       239,0 %
158  500 000         100             0,0002179    0,0006110    false       180,4 %
159  500 000         250             0,0001813    0,0004890    false       169,7 %
160  500 000         500             0,0002951    0,0005092    false       72,6 %
161  500 000         750             0,0002834    0,0008511    false       200,3 %
162  500 000         1 000           0,0001946    0,0003341    false       71,7 %
163  500 000         2 500           0,0001832    0,0003057    false       66,9 %
164  500 000         5 000           0,0002467    0,0005303    false       115,0 %
165  500 000         7 500           0,0003403    0,0005489    false       61,3 %
166  500 000         10 000          0,0001756    0,0004804    false       173,6 %
167  500 000         25 000          0,0001782    0,0003464    false       94,4 %
168  500 000         50 000          0,0002288    0,0002405    false        5,1 %
169  500 000         75 000          0,0001702    0,0001902    false       11,8 %
170  500 000         100 000         0,0001805    0,0002070    false       14,7 %
171  500 000         250 000         0,0001703    0,0001627    true        -4,5 %
172  750 000         10              0,0002605    0,0070276    false       2597,7 %
173  750 000         25              0,0003297    0,0026257    false       696,4 %
174  750 000         50              0,0002635    0,0016955    false       543,5 %
175  750 000         75              0,0002459    0,0018530    false       653,6 %
176  750 000         100             0,0002399    0,0009221    false       284,4 %
177  750 000         250             0,0002843    0,0005423    false       90,7 %
178  750 000         500             0,0002432    0,0004020    false       65,3 %
